y,pred
[[45.36750031]],[[42.84696265]]
[[45.95000076]],[[45.37518506]]
[[48.18280029]],[[45.95762362]]
[[46.75]],[[48.1902269]]
[[47.43000031]],[[46.75707741]]
[[47.56999969]],[[47.43715097]]
[[43.74000168]],[[47.57818051]]
[[43.82500076]],[[43.74831933]]
[[44.52000046]],[[43.83339727]]
[[43.89500046]],[[44.52837074]]
[[44.01610184]],[[43.90299797]]
[[44.15999985]],[[44.02421718]]
[[43.57500076]],[[44.16824931]]
[[46.77500153]],[[43.58336463]]
[[45.65000153]],[[46.7841441]]
[[44.]],[[45.65876996]]
[[44.5401001]],[[44.00823367]]
[[45.39099884]],[[44.54779801]]
[[44.50999832]],[[45.39830931]]
[[44.56999969]],[[44.51666598]]
[[47.61999893]],[[44.57832575]]
[[47.77500153]],[[47.63038454]]
[[47.84000015]],[[47.78548981]]
[[48.29999924]],[[47.8492714]]
[[48.04000092]],[[48.30807168]]
[[48.45000076]],[[48.04732265]]
[[48.68999863]],[[48.45718897]]
[[48.24000168]],[[48.69768878]]
[[46.91989899]],[[48.24851517]]
[[46.72999954]],[[46.92865545]]
[[46.50500107]],[[46.73879351]]
[[46.45999908]],[[46.51358776]]
[[45.74000168]],[[46.46828151]]
[[44.45999908]],[[45.74803647]]
[[43.52999878]],[[44.46765086]]
[[42.65499878]],[[43.53745369]]
[[41.66999817]],[[42.66228254]]
[[41.22999954]],[[41.67709029]]
[[39.86000061]],[[41.23705441]]
[[40.13999939]],[[39.8669737]]
[[40.65999985]],[[40.14723321]]
[[39.65000153]],[[40.66799278]]
[[39.99000168]],[[39.65815174]]
[[40.20999908]],[[39.99820897]]
[[40.61999893]],[[40.21771018]]
[[40.97999954]],[[40.62698347]]
[[40.40999985]],[[40.98631931]]
[[40.40000153]],[[40.41564491]]
[[42.56000137]],[[40.40606584]]
[[42.08499908]],[[42.56719471]]
[[42.84999847]],[[42.09272922]]
[[42.72999954]],[[42.85806371]]
[[42.72999954]],[[42.73789989]]
[[43.06999969]],[[42.73776092]]
[[42.58000183]],[[43.07792696]]
[[43.20000076]],[[42.58764983]]
[[42.81000137]],[[43.20740591]]
[[42.72000122]],[[42.81733377]]
[[42.13499832]],[[42.72745395]]
[[42.59999847]],[[42.14248352]]
[[42.88000107]],[[42.60758722]]
[[42.79000092]],[[42.8877758]]
[[43.79000092]],[[42.79741357]]
[[43.81999969]],[[43.79669938]]
[[44.15999985]],[[43.82623506]]
[[44.41999817]],[[44.16634742]]
[[43.90000153]],[[44.42687541]]
[[44.22999954]],[[43.90742037]]
[[44.72999954]],[[44.23788706]]
[[45.24000168]],[[44.73801422]]
[[45.02999878]],[[45.2477732]]
[[44.33499908]],[[45.03742188]]
[[43.86999893]],[[44.34233453]]
[[43.75999832]],[[43.87748821]]
[[44.20999908]],[[43.76777757]]
[[44.04999924]],[[44.21828193]]
[[43.14899826]],[[44.05829346]]
[[43.40000153]],[[43.15696032]]
[[43.32040024]],[[43.4079483]]
[[43.31000137]],[[43.32828967]]
[[43.18000031]],[[43.3179349]]
[[42.86500168]],[[43.18789039]]
[[43.40000153]],[[42.87274446]]
[[42.93000031]],[[43.40912823]]
[[42.22999954]],[[42.9409313]]
[[42.29000092]],[[42.24122488]]
[[42.16999817]],[[42.3005966]]
[[42.06999969]],[[42.1793221]]
[[42.00999832]],[[42.07797705]]
[[42.20000076]],[[42.01675503]]
[[40.29999924]],[[42.20580894]]
[[39.61000061]],[[40.30473371]]
[[39.77000046]],[[39.61437233]]
[[40.0279007]],[[39.77463918]]
[[39.70000076]],[[40.03302013]]
[[39.86999893]],[[39.70579348]]
[[40.06999969]],[[39.8763761]]
[[38.68999863]],[[40.0765014]]
[[38.52000046]],[[38.69631822]]
[[38.43000031]],[[38.52624406]]
[[39.43000031]],[[38.43634328]]
[[39.47000122]],[[39.43672485]]
[[39.58000183]],[[39.47709518]]
[[39.93000031]],[[39.58739276]]
[[41.15999985]],[[39.93754435]]
[[40.83499908]],[[41.16791489]]
[[41.25]],[[40.84273815]]
[[41.38999939]],[[41.25785245]]
[[41.40499878]],[[41.3978589]]
[[41.20000076]],[[41.41305071]]
[[41.27000046]],[[41.20805319]]
[[42.86999893]],[[41.27805319]]
[[42.36999893]],[[42.87821183]]
[[41.88000107]],[[42.37798866]]
[[42.40999985]],[[41.88779215]]
[[42.70000076]],[[42.4176941]]
[[42.47999954]],[[42.70746098]]
[[42.56999969]],[[42.48695639]]
[[43.20000076]],[[42.57686693]]
[[42.99000168]],[[43.20697172]]
[[43.45500183]],[[42.99690784]]
[[43.47499847]],[[43.46196683]]
[[43.45999908]],[[43.48216264]]
[[43.70999908]],[[43.46760261]]
[[43.43999863]],[[43.71824915]]
[[43.47000122]],[[43.44779948]]
[[43.27999878]],[[43.47744456]]
[[43.13000107]],[[43.28728092]]
[[43.43000031]],[[43.13720447]]
[[43.27000046]],[[43.43706403]]
[[43.11999893]],[[43.27688664]]
[[43.15000153]],[[43.12693352]]
[[43.47000122]],[[43.15710105]]
[[43.95000076]],[[43.47718837]]
[[44.08000183]],[[43.95752956]]
[[44.40000153]],[[44.08770824]]
[[44.18999863]],[[44.40768846]]
[[44.54000092]],[[44.19739766]]
[[44.47000122]],[[44.54734987]]
[[43.93000031]],[[44.47816745]]
[[43.65000153]],[[43.93829664]]
[[43.03499985]],[[43.65800254]]
[[43.19200134]],[[43.04278088]]
[[43.22999954]],[[43.20001108]]
[[43.21170044]],[[43.23836547]]
[[43.36000061]],[[43.22029946]]
[[42.93000031]],[[43.36884753]]
[[43.25]],[[42.93853639]]
[[44.06999969]],[[43.25827506]]
[[44.33000183]],[[44.07819639]]
[[44.63999939]],[[44.33765485]]
[[44.86000061]],[[44.64747926]]
[[45.02000046]],[[44.86737396]]
[[43.66999817]],[[45.02734862]]
[[44.18000031]],[[43.67717788]]
[[43.90999985]],[[44.18766923]]
[[43.88499832]],[[43.91808499]]
[[44.11000061]],[[43.89351978]]
[[44.25999832]],[[44.11853865]]
[[44.61999893]],[[44.26838551]]
[[45.66080093]],[[44.6291154]]
[[45.70999908]],[[45.67080144]]
[[45.90000153]],[[45.71932174]]
[[46.54000092]],[[45.90863998]]
[[47.47000122]],[[46.5486343]]
[[47.13499832]],[[47.47902446]]
[[47.08000183]],[[47.14409502]]
[[45.32500076]],[[47.08762905]]
[[45.53499985]],[[45.33120596]]
[[45.63999939]],[[45.54094779]]
[[45.84999847]],[[45.64636094]]
[[46.56000137]],[[45.85709335]]
[[45.97999954]],[[46.5678007]]
[[45.81000137]],[[45.9879643]]
[[45.35499954]],[[45.81797781]]
[[44.625]],[[45.36270178]]
[[43.88999939]],[[44.63246256]]
[[43.83000183]],[[43.89752609]]
[[44.09999847]],[[43.83780888]]
[[43.81000137]],[[44.10808936]]
[[43.74000168]],[[43.81836008]]
[[43.38499832]],[[43.7491479]]
[[42.54999924]],[[43.39407758]]
[[43.]],[[42.55834833]]
[[42.93999863]],[[43.0078117]]
[[42.75999832]],[[42.94726195]]
[[42.86999893]],[[42.76706426]]
[[42.65000153]],[[42.87745468]]
[[41.29460144]],[[42.65797971]]
[[41.11500168]],[[41.3025253]]
[[41.16159821]],[[41.12313338]]
[[40.47000122]],[[41.16967211]]
[[40.84500122]],[[40.47750603]]
[[40.65930176]],[[40.85210281]]
[[40.72000122]],[[40.66589378]]
[[40.19499969]],[[40.72686264]]
[[41.59999847]],[[40.20227816]]
[[41.77999878]],[[41.60767765]]
[[41.63499832]],[[41.78727974]]
[[40.91500092]],[[41.64175086]]
[[40.49000168]],[[40.92132879]]
[[40.63000107]],[[40.49627786]]
[[41.77999878]],[[40.63621706]]
[[41.83000183]],[[41.78647849]]
[[41.97000122]],[[41.83671245]]
[[41.52000046]],[[41.97719146]]
[[41.59999847]],[[41.52821551]]
[[41.33499908]],[[41.60951128]]
[[41.31000137]],[[41.34464223]]
[[42.54999924]],[[41.32017947]]
[[42.79999924]],[[42.56038774]]
[[43.36000061]],[[42.8093145]]
[[43.52000046]],[[43.36798723]]
[[43.43999863]],[[43.52702483]]
[[43.34999847]],[[43.44649305]]
[[43.34999847]],[[43.35624044]]
[[43.70040131]],[[43.35585706]]
[[42.65000153]],[[43.70604856]]
[[43.18999863]],[[42.65577488]]
[[42.95000076]],[[43.1963231]]
[[42.72000122]],[[42.95695506]]
[[42.59999847]],[[42.7276045]]
[[42.50999832]],[[42.60813013]]
[[38.60499954]],[[42.51802348]]
[[37.61999893]],[[38.61161848]]
[[37.8567009]],[[37.62581399]]
[[37.04999924]],[[37.8625493]]
[[37.16500092]],[[37.05594136]]
[[37.15999985]],[[37.17113012]]
[[37.20999908]],[[37.16612213]]
[[38.10499954]],[[37.21653354]]
[[36.84999847]],[[38.11192936]]
[[37.68999863]],[[36.85663499]]
[[37.74990082]],[[37.69681422]]
[[37.35889816]],[[37.75680291]]
[[36.15999985]],[[37.36559098]]
[[35.56999969]],[[36.16646253]]
[[29.96999931]],[[35.57587804]]
[[31.97500038]],[[29.97471014]]
[[32.8382988]],[[31.97990273]]
[[31.94000053]],[[32.8432557]]
[[31.10000038]],[[31.94491869]]
[[31.21999931]],[[31.10492822]]
[[31.21999931]],[[31.22514086]]
[[34.875]],[[31.22569121]]
[[36.29000092]],[[34.88217519]]
[[36.65000153]],[[36.2979185]]
[[35.83000183]],[[36.65798345]]
[[36.11500168]],[[35.83746401]]
[[36.23500061]],[[36.12190715]]
[[36.43999863]],[[36.24150936]]
[[36.12419891]],[[36.44633691]]
[[36.02000046]],[[36.13055992]]
[[36.47999954]],[[36.0264993]]
[[36.22000122]],[[36.48663506]]
[[37.23429871]],[[36.22632512]]
[[36.74000168]],[[37.2405177]]
[[36.15000153]],[[36.74604026]]
[[35.59000015]],[[36.15606622]]
[[35.43000031]],[[35.59635433]]
[[35.50999832]],[[35.43661286]]
[[35.68000031]],[[35.516643]]
[[36.58499908]],[[35.68627777]]
[[36.61999893]],[[36.59115475]]
[[36.29000092]],[[36.62637876]]
[[34.90000153]],[[36.29557551]]
[[34.99000168]],[[34.90502495]]
[[34.97000122]],[[34.99527529]]
[[34.54970169]],[[34.97546593]]
[[34.58000183]],[[34.55546625]]
[[34.84500122]],[[34.58613833]]
[[35.04000092]],[[34.85132766]]
[[33.38000107]],[[35.04662187]]
[[33.61000061]],[[33.38647785]]
[[33.56999969]],[[33.61642774]]
[[33.72000122]],[[33.57619407]]
[[33.20999908]],[[33.7259846]]
[[32.81999969]],[[33.21567719]]
[[32.65999985]],[[32.8255588]]
[[31.97500038]],[[32.66536492]]
[[31.64999962]],[[31.98059289]]
[[31.26000023]],[[31.65602246]]
[[31.31999969]],[[31.26609221]]
[[31.35000038]],[[31.32615856]]
[[31.45960045]],[[31.35607557]]
[[31.97999954]],[[31.46563359]]
[[33.36000061]],[[31.98605016]]
[[33.91999817]],[[33.36604339]]
[[34.01879883]],[[33.92595916]]
[[34.45999908]],[[34.02483383]]
[[34.22999954]],[[34.4662252]]
[[34.40999985]],[[34.2363347]]
[[34.34000015]],[[34.41626743]]
[[34.61000061]],[[34.34588324]]
[[34.91999817]],[[34.61545599]]
[[34.79000092]],[[34.92523535]]
[[34.45000076]],[[34.79524659]]
[[34.43000031]],[[34.45528206]]
[[34.65000153]],[[34.43555506]]
[[33.91999817]],[[34.65599116]]
[[37.20999908]],[[33.92613481]]
[[37.68000031]],[[37.21658122]]
[[37.56000137]],[[37.68653139]]
[[37.68999863]],[[37.56666669]]
[[37.43000031]],[[37.69695702]]
[[38.20999908]],[[37.43715206]]
[[38.11000061]],[[38.21717347]]
[[38.81999969]],[[38.11744073]]
[[38.81000137]],[[38.82816716]]
[[38.65999985]],[[38.81840717]]
[[38.90499878]],[[38.66813552]]
[[39.]],[[38.91266614]]
[[38.90999985]],[[39.0071324]]
[[38.79999924]],[[38.91674949]]
[[38.90000153]],[[38.80658425]]
[[37.72000122]],[[38.90639918]]
[[37.81999969]],[[37.72598068]]
[[38.15999985]],[[37.82586623]]
[[38.18000031]],[[38.16581962]]
