y,pred
[[468.63000488]],[[469.4538201]]
[[468.1499939]],[[468.71667776]]
[[470.77999878]],[[468.23806388]]
[[474.23001099]],[[470.86755335]]
[[471.20001221]],[[474.31288074]]
[[469.6499939]],[[471.27761653]]
[[468.98999023]],[[469.722906]]
[[472.19000244]],[[469.06154369]]
[[472.54998779]],[[472.2645578]]
[[471.11999512]],[[472.6258569]]
[[475.32000732]],[[471.19432537]]
[[471.07000732]],[[475.3928258]]
[[473.1000061]],[[471.14397169]]
[[470.80999756]],[[473.17724129]]
[[471.98001099]],[[470.8942972]]
[[473.51998901]],[[472.07044898]]
[[471.77999878]],[[473.61192866]]
[[472.33999634]],[[471.86867959]]
[[475.64749146]],[[472.4205158]]
[[475.20001221]],[[475.72505038]]
[[473.89001465]],[[475.2779248]]
[[475.88000488]],[[473.96876286]]
[[476.52999878]],[[475.96025027]]
[[478.97000122]],[[476.61441369]]
[[475.6000061]],[[479.05569769]]
[[465.82998657]],[[475.69390344]]
[[466.20001221]],[[465.93158102]]
[[465.58999634]],[[466.30493156]]
[[462.73001099]],[[465.68840428]]
[[462.30999756]],[[462.81822664]]
[[464.8197937]],[[462.39007134]]
[[465.32998657]],[[464.89742255]]
[[462.01000977]],[[465.41078624]]
[[464.73498535]],[[462.09015206]]
[[465.55999756]],[[464.81394004]]
[[463.73999023]],[[465.63841429]]
[[463.07000732]],[[463.81573019]]
[[462.36999512]],[[463.14648486]]
[[465.26000977]],[[462.44801922]]
[[466.8999939]],[[465.34220293]]
[[465.08999634]],[[466.98677295]]
[[464.16500854]],[[465.17758942]]
[[464.58999634]],[[464.25241186]]
[[463.83999634]],[[464.68009482]]
[[463.82501221]],[[463.9321905]]
[[460.13500977]],[[463.91756452]]
[[461.20999146]],[[460.23906471]]
[[463.49200439]],[[461.31614509]]
[[462.79998779]],[[463.59030905]]
[[463.3999939]],[[462.88856677]]
[[464.91500854]],[[463.47895138]]
[[466.42999268]],[[464.99047278]]
[[460.81500244]],[[466.5072597]]
[[463.92999268]],[[460.89577518]]
[[461.51998901]],[[464.00886073]]
[[464.13000488]],[[461.59459958]]
[[465.35501099]],[[464.20466047]]
[[466.61499023]],[[465.43462056]]
[[470.30999756]],[[466.69803812]]
[[473.92999268]],[[470.39517129]]
[[474.16000366]],[[474.01591557]]
[[474.07000732]],[[474.24239486]]
[[473.82998657]],[[474.1481585]]
[[473.60998535]],[[473.90582642]]
[[475.48999023]],[[473.68742024]]
[[472.01000977]],[[475.5719536]]
[[478.19500732]],[[472.09612439]]
[[479.5]],[[478.27598155]]
[[479.32998657]],[[479.57306586]]
[[480.45001221]],[[479.40054805]]
[[479.54998779]],[[480.52346983]]
[[478.45999146]],[[479.62903699]]
[[476.89001465]],[[478.54309775]]
[[479.76998901]],[[476.97790076]]
[[483.23498535]],[[479.85865431]]
[[483.19000244]],[[483.31842599]]
[[482.82998657]],[[483.26332098]]
[[485.11999512]],[[482.90223962]]
[[485.79501343]],[[485.19650889]]
[[485.72000122]],[[485.87969419]]
[[486.63000488]],[[485.81164795]]
[[481.98001099]],[[486.72509005]]
[[482.98999023]],[[482.0720922]]
[[482.11999512]],[[483.08172462]]
[[481.74499512]],[[482.2123653]]
[[481.45999146]],[[481.83882069]]
[[479.6499939]],[[481.5531248]]
[[477.29000854]],[[479.74166749]]
[[477.51501465]],[[477.37624367]]
[[482.46499634]],[[477.59511771]]
[[481.59500122]],[[482.53967328]]
[[481.6499939]],[[481.6675718]]
[[485.26501465]],[[481.72506682]]
[[481.51000977]],[[485.34740119]]
[[479.76998901]],[[481.59633289]]
[[478.14498901]],[[479.85774816]]
[[476.54998779]],[[478.22660136]]
[[477.30999756]],[[476.62527062]]
[[478.51998901]],[[477.38178553]]
[[478.14498901]],[[478.58801758]]
[[479.5]],[[478.21312458]]
[[477.51998901]],[[479.57724218]]
[[476.85998535]],[[477.60885577]]
[[482.16500854]],[[476.96155875]]
[[483.84500122]],[[482.27311492]]
[[485.20001221]],[[483.9516836]]
[[487.25500488]],[[485.29590789]]
[[486.79998779]],[[487.3379362]]
[[466.29501343]],[[486.87917846]]
[[463.45999146]],[[466.36240709]]
[[460.13000488]],[[463.52416286]]
[[464.73999023]],[[460.19330725]]
[[459.90499878]],[[464.80757639]]
[[458.01000977]],[[459.9789405]]
[[459.19000244]],[[458.09358385]]
[[467.29000854]],[[459.28345853]]
[[465.45001221]],[[467.3857033]]
[[463.98498535]],[[465.53664661]]
[[464.31500244]],[[464.06496034]]
[[466.02999878]],[[464.39959209]]
[[466.51998901]],[[466.12669418]]
[[467.02999878]],[[466.62501166]]
[[466.69000244]],[[467.13672296]]
[[466.17001343]],[[466.79592569]]
[[467.41000366]],[[466.2663263]]
[[464.86999512]],[[467.49863442]]
[[465.44000244]],[[464.95250384]]
[[462.95001221]],[[465.51949998]]
[[462.02999878]],[[463.02961736]]
[[452.13000488]],[[462.11056968]]
[[439.13500977]],[[452.21399159]]
[[439.88000488]],[[439.22003104]]
[[437.10501099]],[[439.96493115]]
[[437.57998657]],[[437.18923215]]
[[439.54000854]],[[437.65808526]]
[[437.27999878]],[[439.61169781]]
[[440.05999756]],[[437.34619788]]
[[444.54998779]],[[440.13205688]]
[[442.6499939]],[[444.63312952]]
[[440.73999023]],[[442.74027993]]
[[438.27999878]],[[440.82820704]]
[[435.91500854]],[[438.35780116]]
[[436.23999023]],[[435.98139074]]
[[432.4750061]],[[436.30028058]]
[[430.44500732]],[[432.53283475]]
[[432.83999634]],[[430.51103118]]
[[431.60998535]],[[432.915406]]
[[432.875]],[[431.68788034]]
[[436.48001099]],[[432.95690803]]
[[436.75]],[[436.5699296]]
[[445.55999756]],[[436.83986034]]
[[446.95001221]],[[445.64994265]]
[[451.57000732]],[[447.03564411]]
[[451.61999512]],[[451.6535973]]
[[452.05999756]],[[451.70273968]]
[[450.97000122]],[[452.1409467]]
[[451.08999634]],[[451.04748927]]
[[452.07501221]],[[451.16256787]]
[[452.13500977]],[[452.12806338]]
[[452.30999756]],[[452.16931123]]
[[455.10501099]],[[452.34210665]]
[[453.10998535]],[[455.15020352]]
[[454.]],[[453.17772681]]
[[453.98999023]],[[454.08602705]]
[[447.39001465]],[[454.0808608]]
[[444.2250061]],[[447.47647418]]
[[445.39001465]],[[444.30491633]]
[[445.69000244]],[[445.46618221]]
[[447.75]],[[445.76494451]]
[[451.85998535]],[[447.82447948]]
[[451.54998779]],[[451.93987186]]
[[457.94000244]],[[451.63834129]]
[[463.83499146]],[[458.03977207]]
[[465.17999268]],[[463.94266852]]
[[467.85998535]],[[465.2864414]]
[[469.6000061]],[[467.96163211]]
[[466.19000244]],[[469.69278009]]
[[464.16000366]],[[466.2756683]]
[[462.66000366]],[[464.24007279]]
[[462.51000977]],[[462.72640832]]
[[461.8999939]],[[462.56553465]]
[[462.77999878]],[[461.95238612]]
[[461.14001465]],[[462.83820068]]
[[461.58999634]],[[461.20607402]]
[[462.54998779]],[[461.66342141]]
[[380.29501343]],[[462.6282456]]
[[387.98001099]],[[380.37254993]]
[[383.29501343]],[[388.07349546]]
[[377.41000366]],[[383.39574073]]
[[375.32000732]],[[377.50663682]]
[[383.07501221]],[[375.40807004]]
[[384.70999146]],[[383.15585262]]
[[379.88500977]],[[384.78725005]]
[[380.07000732]],[[379.96286034]]
[[382.69000244]],[[380.14544777]]
[[382.45999146]],[[382.75857246]]
[[378.66000366]],[[382.5209889]]
[[379.42498779]],[[378.7166414]]
[[378.42999268]],[[379.47987559]]
[[373.10998535]],[[378.48391465]]
[[367.41000366]],[[373.16324519]]
[[366.80999756]],[[367.46359683]]
[[365.55499268]],[[366.86597789]]
[[367.44500732]],[[365.61406749]]
[[364.60998535]],[[367.50595626]]
[[366.85998535]],[[364.67334495]]
[[370.82000732]],[[366.92948138]]
[[368.1000061]],[[370.89462983]]
[[368.04000854]],[[368.17380562]]
[[366.625]],[[368.11289936]]
[[367.8999939]],[[366.69348044]]
[[368.79998779]],[[367.96863025]]
[[365.77999878]],[[368.8702841]]
[[361.78500366]],[[365.84870565]]
[[359.30999756]],[[361.85184418]]
[[360.70001221]],[[359.37949692]]
[[360.32501221]],[[360.76981537]]
[[362.00500488]],[[360.39080982]]
[[366.04998779]],[[362.06591187]]
[[364.47000122]],[[366.10781442]]
[[365.51000977]],[[364.52821775]]
[[364.08999634]],[[365.56176536]]
[[366.45001221]],[[364.13604411]]
[[369.08999634]],[[366.49829149]]
[[371.3500061]],[[369.14225885]]
[[373.86999512]],[[371.41074784]]
[[372.22000122]],[[373.93845137]]
[[382.]],[[372.29161776]]
[[372.84500122]],[[382.0760996]]
[[375.22000122]],[[372.91543517]]
[[377.67999268]],[[375.28968731]]
[[379.9005127]],[[377.75373185]]
