y,pred
[[61.70000076]],[[61.57045006]]
[[61.52899933]],[[61.71087751]]
[[61.82500076]],[[61.54031926]]
[[60.70000076]],[[61.83571368]]
[[61.15000153]],[[60.70915386]]
[[60.93000031]],[[61.15820056]]
[[60.36999893]],[[60.93833032]]
[[60.09000015]],[[60.37843837]]
[[60.02000046]],[[60.09903194]]
[[61.50999832]],[[60.0299096]]
[[61.33990097]],[[61.52170201]]
[[61.57180023]],[[61.35310673]]
[[61.31999969]],[[61.58581812]]
[[61.43000031]],[[61.33375832]]
[[61.22999954]],[[61.44276709]]
[[61.34000015]],[[61.24132217]]
[[60.81999969]],[[61.35015191]]
[[60.43000031]],[[60.83040615]]
[[60.44499969]],[[60.44044224]]
[[60.16500092]],[[60.4556104]]
[[60.58000183]],[[60.1760262]]
[[60.63000107]],[[60.59187024]]
[[60.69499969]],[[60.64215957]]
[[60.63000107]],[[60.70706067]]
[[60.65499878]],[[60.64067293]]
[[60.75999832]],[[60.66306411]]
[[61.22999954]],[[60.76634038]]
[[60.99000168]],[[61.23665092]]
[[61.27999878]],[[60.99806793]]
[[61.18000031]],[[61.29010864]]
[[62.36989975]],[[61.19153066]]
[[62.125]],[[62.38248036]]
[[62.66999817]],[[62.13646268]]
[[62.22000122]],[[62.68128101]]
[[61.97999954]],[[62.23177278]]
[[61.59000015]],[[61.99170538]]
[[62.11999893]],[[61.60150798]]
[[61.29999924]],[[62.13144703]]
[[61.47000122]],[[61.31090298]]
[[61.84999847]],[[61.48103459]]
[[62.06000137]],[[61.86068831]]
[[61.90969849]],[[62.07075825]]
[[61.83000183]],[[61.92119593]]
[[61.59000015]],[[61.84215222]]
[[61.40000153]],[[61.60233167]]
[[61.43009949]],[[61.41210515]]
[[62.27999878]],[[61.4418358]]
[[63.09000015]],[[62.29241323]]
[[62.63000107]],[[63.1028628]]
[[62.25999832]],[[62.64278929]]
[[62.22999954]],[[62.27244473]]
[[62.47999954]],[[62.24184718]]
[[62.56000137]],[[62.49222599]]
[[62.09000015]],[[62.57248818]]
[[62.05500031]],[[62.10241027]]
[[62.35079956]],[[62.06692097]]
[[62.25999832]],[[62.36212296]]
[[62.20999908]],[[62.27056767]]
[[61.79999924]],[[62.22019146]]
[[60.84000015]],[[61.81133035]]
[[61.44499969]],[[60.85217742]]
[[61.56000137]],[[61.45720192]]
[[61.70000076]],[[61.57153249]]
[[61.56000137]],[[61.71046171]]
[[61.49000168]],[[61.56944353]]
[[60.40000153]],[[61.49863571]]
[[60.56000137]],[[60.40792899]]
[[60.08499908]],[[60.56849806]]
[[60.02999878]],[[60.09421791]]
[[60.04999924]],[[60.03961796]]
[[59.74000168]],[[60.0597129]]
[[59.36000061]],[[59.7495379]]
[[61.38000107]],[[59.36932779]]
[[61.70999908]],[[61.38995388]]
[[61.20000076]],[[61.72058311]]
[[60.84999847]],[[61.21110605]]
[[60.5]],[[60.86152218]]
[[60.43999863]],[[60.51160662]]
[[60.]],[[60.45139808]]
[[64.5]],[[60.0109756]]
[[64.47000122]],[[64.5130588]]
[[64.55999756]],[[64.48391328]]
[[64.38500214]],[[64.57378377]]
[[64.01999664]],[[64.3980271]]
[[64.23000336]],[[64.03217625]]
[[64.25]],[[64.24146034]]
[[65.23000336]],[[64.26059315]]
[[64.97019958]],[[65.24158817]]
[[65.04879761]],[[64.98297456]]
[[64.69999695]],[[65.061826]]
[[64.61499786]],[[64.71210804]]
[[64.53019714]],[[64.62590923]]
[[64.33000183]],[[64.54023358]]
[[64.05000305]],[[64.33957672]]
[[63.92499924]],[[64.05935851]]
[[64.06999969]],[[63.9338623]]
[[64.05000305]],[[64.07908097]]
[[62.61999893]],[[64.05955321]]
[[62.93500137]],[[62.62995476]]
[[62.93500137]],[[62.94570172]]
[[61.88000107]],[[62.94633967]]
[[61.72000122]],[[61.89122744]]
[[62.34999847]],[[61.73074469]]
[[62.5]],[[62.36032435]]
[[62.54999924]],[[62.51028343]]
[[62.52500153]],[[62.56082241]]
[[62.56000137]],[[62.53640641]]
[[63.16500092]],[[62.5716091]]
[[63.31000137]],[[63.17664772]]
[[63.16999817]],[[63.32202538]]
[[63.36999893]],[[63.18276228]]
[[63.45000076]],[[63.38290048]]
[[62.9314003]],[[63.46257137]]
[[62.5]],[[62.94342695]]
[[63.06999969]],[[62.51189299]]
[[62.85129929]],[[63.08188485]]
[[62.70999908]],[[62.86262671]]
[[62.63999939]],[[62.72110318]]
[[62.13850021]],[[62.65080383]]
[[61.72999954]],[[62.14867671]]
[[61.45000076]],[[61.73976397]]
[[61.95000076]],[[61.4598832]]
[[62.00999832]],[[61.95963913]]
[[62.40999985]],[[62.01897449]]
[[62.47999954]],[[62.41892348]]
[[62.56999969]],[[62.48928558]]
[[62.79990005]],[[62.58013801]]
[[62.70999908]],[[62.81102077]]
[[62.55500031]],[[62.72185588]]
[[62.99000168]],[[62.56750965]]
[[63.54999924]],[[63.00257807]]
[[64.12999725]],[[63.56255083]]
[[64.52999878]],[[64.14249163]]
[[64.45999908]],[[64.54198069]]
[[64.66000366]],[[64.47127329]]
[[64.05500031]],[[64.67097924]]
[[64.375]],[[64.0653117]]
[[64.12999725]],[[64.38555021]]
[[64.28929901]],[[64.14099801]]
[[64.36000061]],[[64.30080154]]
[[64.01499939]],[[64.37135515]]
[[64.06999969]],[[64.02627494]]
[[66.22000122]],[[64.08164677]]
[[65.79000092]],[[66.23131585]]
[[65.69499969]],[[65.80002399]]
[[65.41000366]],[[65.70501417]]
[[65.29530334]],[[65.42040453]]
[[65.52999878]],[[65.30702795]]
[[64.98000336]],[[65.54314552]]
[[63.38999939]],[[64.99341255]]
[[61.83000183]],[[63.40272814]]
[[62.17499924]],[[61.84175904]]
[[62.83000183]],[[62.18627681]]
